path,version,artifact_type,function,size_bytes,one_line_desc,sha256,secondary_function
skills/web-prototype/references/checklist.md,open-design,skill,build,3756,Run this before emitting . P0 = must pass; P1 = should pass; P2 = nice to have.,50eda512ecfaa84de020ae8428d9487a38550d8e37941924487d386f2acbd533,
skills/saas-landing/SKILL.md,open-design,skill,build,4596,"Single-page SaaS landing with hero, features, social proof, pricing, and CTA.",747b595409211b74efe41838b18bc09fb7f9416868044a014e740ba4660ba9bd,
skills/html-ppt/SKILL.md,open-design,skill,build,15050,"HTML PPT Studio — author professional static HTML presentations in many styles, layouts, and animations, all driven by t",3880aa4abf60bd148966cccbe6f0d679d632e289bbf0144663f7e27309039b63,
skills/html-ppt/README.md,open-design,skill,build,10640,> A world-class AgentSkill for producing professional HTML presentations in,c416aff4e9d3ef9cd1fe74e492e80a28274333b3d4bd2085482b0fe517d42b3c,
skills/html-ppt/templates/full-decks/pitch-deck/README.md,open-design,skill,build,524,"Classic 10-slide YC/VC seed pitch: cover, problem, solution, product, market, business model, traction, team, ask, thank",edc9f3c88c049dc71e1257aaa18c1189d61f67fdbdf33c6c8538d2ba5041426d,
skills/html-ppt/templates/full-decks/weekly-report/README.md,open-design,skill,build,562,"7-slide team weekly report: cover (week range), KPI grid, shipped items, a metric trend chart, blockers, next-week plan,",a684102b3792c8ff3a75935d39d11f20158b8fbea6e779b36ddf349bbd985d96,
skills/html-ppt/templates/full-decks/obsidian-claude-gradient/README.md,open-design,skill,build,901,GitHub-dark (#0d1117) + 紫色 ambient radial + 60px 遮罩网格 + 紫→蓝→绿渐变文字。灵感来自 20260406-obsidian-claude/slides.html 的 --accent #,a07535297396b940fd158a4c8cb1ead97465f747f1d611d85084394f74e920e1,
skills/html-ppt/templates/full-decks/dir-key-nav-minimal/README.md,open-design,skill,build,1021,8 张幻灯片，每张一个纯色/渐变 mono-background（indigo / cream / crimson / emerald / slate / violet / white / charcoal）。灵感直接来自 20260405,9e6503d841f12918da70b8c21cc553d320a3d5cf841dbf0b5f95743a8954cf56,
skills/html-ppt/templates/full-decks/graphify-dark-graph/README.md,open-design,skill,build,937,Deep-night 暗底 + 力导向知识图谱覆盖层 + 温暖玻璃拟态卡片。灵感来自 20260413-graphify/ppt/graphify.html 的 #06060c 渐变底、飘移 orb 光晕、glass 卡片（warm/blu,58993adbd693cfe255e9d7009c482400f7ba6468e9ab88a8c725889bcf5288df,
skills/html-ppt/templates/full-decks/tech-sharing/README.md,open-design,skill,build,522,"8-slide engineering talk deck: cover (topic + speaker), agenda, context, two deep-dive slides, a code example, takeaways",05f352191afb8421bff65aa4b0b7f2709e04375b036ce44c4ca02af7dabe3e67,
skills/html-ppt/templates/full-decks/product-launch/README.md,open-design,skill,build,545,"8-slide consumer product announcement deck: hero cover, ""introducing"" moment, three feature slides, how-it-works, pricin",1977aaa0949dc23cc21e27d6717233778b6847e20703c2dd9ed5a6314f4a94c4,
skills/html-ppt/templates/full-decks/xhs-white-editorial/README.md,open-design,skill,build,995,白底杂志风、强调重点块、macaron soft-card 分组。灵感来自 20260409 升级版知识库/小红书图文/v2-白底版/slide01cover.html 的顶部彩虹条 + 大字标题，以及 20260412-AI测试与安全/x,c21841430bb6390e54fdff31ce00ea42b6b0002e5e3170644869a15a885aeab2,
skills/html-ppt/templates/full-decks/testing-safety-alert/README.md,open-design,skill,build,967,白底 + 红琥珀警示色 + 条纹危险边 + 大红 strike 和 pill。灵感来自 20260412-AI测试与安全/xhs-ai-testing-safety-v2.html 的 .focus 黑底白字块、hero quote box,81fceed958bfdde754a8ef96fd119fd7728e010fbbf29258c7ac7ea53eef0428,
skills/html-ppt/templates/full-decks/presenter-mode-reveal/README.md,open-design,skill,build,3964,一份专为带逐字稿的技术分享设计的 full-deck 模板。核心卖点是真正可用的磁吸卡片式演讲者视图：当前页 iframe 预览 + 下页 iframe 预览 + 大字号逐字稿 + 计时器，4 个卡片可任意拖拽/缩放，全部集成在 runti,cc92770560dc7b1030e90b078e74c5f0b19cad25cac585b53164682a081c555f,
skills/html-ppt/templates/full-decks/course-module/README.md,open-design,skill,build,627,"7-slide teaching module: cover (title + meta), objectives, core concept, worked example, exercise, check-your-understand",86e4b3b148ce1b8e21da12d643566e266b4f016145a644355079214d4e2cbed6,
skills/html-ppt/templates/full-decks/xhs-pastel-card/README.md,open-design,skill,build,1071,暖奶油 #fef8f1 底 + 模糊彩色 blob + Playfair italic 衬线大字 + 整色马卡龙卡片（桃 / 薄荷 / 天 / 丁香 / 柠檬 / 玫瑰）。共性提取自 20260412-obsidian-skills/htm,cc4bb1a008785cdd1cabdc4c7a4d7ca02f83c417861f825a824ec80c7bf9c54d,
skills/html-ppt/templates/full-decks/xhs-post/README.md,open-design,skill,build,628,小红书 3:4 图文格式，9 张图（810 × 1080）。结构：封面 → hook → 痛点 → aha moment → 步骤 1-3 → 效果 → CTA 关注。,7581b991f9c535bfd427b4129b7c3df4bfbee2bfeef253ac70be012117f81f8e,
skills/html-ppt/templates/full-decks/knowledge-arch-blueprint/README.md,open-design,skill,build,933,奶油纸 (#F0EAE0) 底 + 锈红 (#B5392A) 单一 accent + 硬黑描边卡片 + 虚线反馈回路箭头。灵感来自 20260405 架构图v2.html —— 那是一张真正的「技术白皮书架构图」，像建筑蓝图。,6e3139cef0a25e5097d44274400ee13073aefc1139667d25a07537d89a8679b1,
skills/html-ppt/templates/full-decks/hermes-cyber-terminal/README.md,open-design,skill,build,1016,黑底 (#0a0c10) + 终端 chrome + 扫描线 + 薄荷绿 glow 大字 + JetBrains Mono 全文打字机感。灵感来自 20260414-hermes-agent/ppt/hermes-record.html 的,40934801d31e4c7abe45433d36118806f1f4adb82e387a7a0bfcb2a1e2822b95,
skills/html-ppt/scripts/new-deck.sh,open-design,skill,build,1354,"if [[ -z ""$NAME"" ]]; then",d7c80a97da6fec453836a5c2c36043dd63a163e8e04b6ddef965aba3fcaf6c11,
skills/html-ppt/scripts/render.sh,open-design,skill,build,1776,"if [[ ! -x ""$CHROME"" ]]; then",be14f9e9fc4913cb452ad2c8c352198d6532b05542f1a300f5cf571d8ae0e777,
skills/html-ppt/references/presenter-mode.md,open-design,skill,build,9918,这份文档说明如何在 html-ppt skill 里做出带逐字稿的演讲者模式 PPT。,25eb1e51ccfb1e3ad058a8276ed99ce4ebd00804840f6d4f28b9cb72878c5236,
skills/html-ppt/references/authoring-guide.md,open-design,skill,build,5128,"How to turn a user request (""make me a deck about X"") into a finished",891e0bcd8afdb92dbd4401740ec473097c037b46cd7e49592f5c9690bcb1423a,
skills/html-ppt/references/layouts.md,open-design,skill,build,4043,Every layout lives in templates/single-page/ .html as a fully,9cbee86e6b6d246d4a77ea3e4643b6d3be5478635ad5442e9353ced4a2e915b4,
skills/html-ppt/references/full-decks.md,open-design,skill,build,8614,Self-contained multi-slide HTML decks under templates/full-decks/ /. Each folder contains:,c623b261744239ad4d057440beb130190afafee671f79af51cd66d4c9b75c700,
skills/html-ppt/references/themes.md,open-design,skill,build,5264,Every theme is a short CSS file in assets/themes/ that overrides tokens,0948a98fbbc84cc8eb0329d79045c28079cf9b2590ee72d27de01a2d8b60bdd1,
skills/html-ppt/references/animations.md,open-design,skill,build,7708,All animations live in assets/animations/animations.css. Apply them by,89ff078c6610e44f52d192d4c1ea1ce83441d762f417e096b7834106a3b48706,
skills/pm-spec/SKILL.md,open-design,skill,build,1555,Produce a one-page product spec / PRD.,ababc9812085557898ff4195e0f8d5f468d3d713fdb5aa10d2233109f563b962,
skills/html-ppt-taste-editorial/SKILL.md,open-design,skill,build,3911,"A 16:9 deck for the briefs that hate neon: investor updates, design reviews, internal manifestos, lecture decks. Reads l",9df2ab35ae0792fa06bcd94e8d54d69457b1801fc78f96ac5e6b3df91f337ed5,
skills/video-shortform/SKILL.md,open-design,skill,build,4447,name: video-shortform,b6fd302d5f38250621618fbd2bfe928292861f58f3eb17c433e8775045d6c59e,
skills/finance-report/SKILL.md,open-design,skill,build,2115,name: finance-report,d67d6331548ab04bdf8737473beba91e86c4c8ece785bfbff1bce71ffe548c8c,
skills/html-ppt-dir-key-nav-minimal/SKILL.md,open-design,skill,build,4426,A focused entry point into the html-ppt master skill that lands the user directly on the dir-key-nav-minimal full-deck t,d97438538b3501de79d53709c154607d61a5bd3bd9ea5df34a4c2f8569aa026c,
skills/hr-onboarding/SKILL.md,open-design,skill,build,1547,Produce a single-screen onboarding plan in HTML.,d438dbb5847acce5aae1f3034b6b2ab8ce8b4a06185b431b06a95aab7e14d19b,
skills/tweaks/SKILL.md,open-design,skill,build,8804,"Wrap any HTML artifact with a side panel of live, parameterized",1ed8d0c3a7ff61e897ef4653f9b1ec61b82188421d56ad3d544506921e55cad2,
skills/pricing-page/SKILL.md,open-design,skill,build,2811,Produce a single-screen pricing page that respects the active DESIGN.md.,a817cad6d0e0493ab758b1caaff812995070f99b010103d884ebe708592537cd,
skills/pptx-html-fidelity-audit/SKILL.md,open-design,skill,build,14169,A repeatable workflow for catching the ways a python-pptx export silently drifts from its HTML source — and fixing them ,4d1fe39410f0169830aa1f1ad5342e14541f89060d8bb9f695484f21d57e23a1,
skills/pptx-html-fidelity-audit/scripts/verify_layout.py,open-design,skill,build,5644,Verify a re-exported .pptx against footer-rail + canvas-bound invariants.,54cb0704bf1db6c74f6e0e412aee4c704dd3e8afba473f2184f1f5d7d4e9ce77,
skills/pptx-html-fidelity-audit/scripts/extract_pptx.py,open-design,skill,build,4384,Extract every shape on every slide of a .pptx into a JSON dump.,613ec07d0aaca4e25455ccea51ccfc4b36e6464eba2560e65e579dc0cd36a128,
skills/pptx-html-fidelity-audit/references/font-discipline.md,open-design,skill,build,16233,Companion to layout-discipline.md. The rail / cursor primitives in that,0466af3932da1cba0336ff57c555fcae8d37cb6cae838b159a83fbbc22fe9f68,
skills/pptx-html-fidelity-audit/references/layout-discipline.md,open-design,skill,build,14895,The full rule set referenced from SKILL.md Step 4. Read this when the deck has slide types beyond simple title-+-body or,591cbd4d70425b10542a88a1aa4463b2f76e0b43324c4155986eef8751b665c6,
skills/pptx-html-fidelity-audit/references/audit-table-template.md,open-design,skill,build,3009,Drop-in markdown template for the Step-3 audit deliverable. Keep the column order and severity legend stable across audi,c757c9ec349ed6191f2fd2db87e4960596b4a3db51c2391391731d8096acaa98,
skills/html-ppt-hermes-cyber-terminal/SKILL.md,open-design,skill,build,4401,A focused entry point into the html-ppt master skill that lands the user directly on the hermes-cyber-terminal full-deck,54df98cb08242d4de422aeafb6627b39824cd6d8525890f93a22b9a7f47536a4,
skills/html-ppt-xhs-white-editorial/SKILL.md,open-design,skill,build,4340,A focused entry point into the html-ppt master skill that lands the user directly on the xhs-white-editorial full-deck t,e0b918c430dca919741a32e314c65d9633e18b48a18a6c67cc2b03f7d6cfaf3c,
skills/team-okrs/SKILL.md,open-design,skill,build,1316,Produce a single-screen OKR tracker.,6734db5dcac51923f7c89b3f768d72de2a73a91967d24440858c8d36a9ad5da4,
skills/mobile-app/SKILL.md,open-design,skill,build,3798,name: mobile-app,8be14787443af3a326769dd119c253652588f21972243f0b7ccc53a18781ec31,
skills/mobile-app/references/layouts.md,open-design,skill,build,13768,6 paste-ready screen archetypes. Drop into of assets/template.html. Don't write screens from scratch — pick the closest ,5386013acda778971496d3eafe54c8e2e197924c07d1eafefc431851986d2a2f,
skills/mobile-app/references/checklist.md,open-design,skill,build,3728,Run this before emitting . P0 must pass.,78877c18b5b8e03cbf730af6cd28b6062ed3569bf9e2a1af8d1149a3dd41adfa,
skills/email-marketing/SKILL.md,open-design,skill,build,3502,name: email-marketing,6fe9cf07eed1743d381fb0edd91c6f17e9cbab8038d3b4f3c8cf0129c7a0ff19,
skills/sprite-animation/SKILL.md,open-design,skill,build,4255,"A pixel / sprite-style animated explainer slide — full-bleed cream stage,",2476c8eedfcd5aaea1a3cd6e66c6a60f6a6a38278ef20f6d6e843db151144320,
skills/social-carousel/SKILL.md,open-design,skill,build,3897,A three-card social-media carousel laid out as 1080×1080 squares —,cb0c3ac321cbd850a53da00a6ad1b901d40dc89e447c61ed697b456628776f28,
skills/magazine-poster/SKILL.md,open-design,skill,build,3581,"An editorial-style poster — newsprint paper, dateline, oversized serif",ce20f2731d9c10f7616ccb96e7f1e3b677ca21740915acdf3d87de3861a7a94f,
skills/invoice/SKILL.md,open-design,skill,build,1396,Produce a single-page printable invoice.,6c12ddb7b2b971d62f2bae0051bd98a1f75625af6f7bff5a0169dae0d734c1ee,
skills/guizang-ppt/SKILL.md,open-design,skill,build,15807,"生成""电子杂志 × 电子墨水""风格的横向翻页网页 PPT（单 HTML 文件），含 WebGL 流体背景、衬线标题 + 非衬线正文、章节幕封、数据大字报、图片网格等模板。当用户需要制作分享 / 演讲 / 发布会风格的网页 PPT，或提到""杂",28a3416a0edf34a3289c123b0db233210d31dbd2432decabad4051b0cdfd9fd6,
skills/guizang-ppt/README.md,open-design,skill,build,5330,"一个 Claude Code / Claude Agent Skills 技能,用于生成单文件 HTML 横向翻页 PPT,视觉基调是""电子杂志 × 电子墨水""——像 Monocle 贴上了代码的样子。",64e0e3a13ee3fe5f04cbf41612b3fae4b5ddd6a9a707667d934f8271910f536a,
skills/guizang-ppt/README.en.md,open-design,skill,build,5675,"A Claude Code / Claude Agent Skills skill that generates single-file HTML horizontal-swipe decks with an ""editorial maga",161f195b640376c4ee1043fb19acb6fd648fb5a26af6caa0ce73bf463414e67c,
skills/guizang-ppt/references/components.md,open-design,skill,build,11424,"这是 magazine-web-ppt skill 的组件手册。template.html 已经定义好了所有样式，这里只写""这个组件长什么样、怎么用""。",4f7f35827a112958ef908f63e4f5855d0942412363edb67c59beb6454b50fdae,
skills/guizang-ppt/references/layouts.md,open-design,skill,build,24525,本文档收录 10 种最常用的页面布局骨架。每种都是一个完整可粘贴的 ... 代码块，直接替换文案/图片即可使用。,06ff9cdf38af181e97b45dbe72d8cbba4c4f3a06a097ed9fdca6979eae1aa785,
skills/guizang-ppt/references/checklist.md,open-design,skill,build,11792,"现象：直接把 layouts.md 的骨架粘到新 HTML,结果样式全部丢失——大标题变成非衬线、数据大字报字体小得像正文、pipeline 多页糊成一坨、图片堆到浏览器底部。",f07b6e0235dfe80cf30d8a2b17aca2b8ef3129e94b40bdfb207f13115c3de69f,
skills/guizang-ppt/references/themes.md,open-design,skill,build,3554,"5 套精心调配的主题色板,保证""电子杂志 × 电子墨水""的美学不垮。不允许用户自定义颜色——色彩搭配错了画面瞬间变丑,只从以下预设中挑选。",a4bee3ef7b22d56fb904b0643a117368d85f0265ceccdf5111ad497fe22cc656,
skills/guizang-ppt/references/styles.md,open-design,skill,build,8967,"5 个预设方向，每个方向都把""用哪套主题色 / 哪些 layout / 多少 slide / 怎么写 chrome 文案""打包好，避免你在 6 问澄清里给出 5 个不相关的选项。",6449b0f79b652e05c8b3f5e2691024bdd8eff1bd1e2fd28d5d6b768e7c231996,
skills/dashboard/SKILL.md,open-design,skill,build,2695,Produce a single-screen admin / analytics dashboard.,50eb30517c23efa8fb86fcdae5f11b4d0fde7556f773d612e0c88df5a3d456f7,
skills/html-ppt-graphify-dark-graph/SKILL.md,open-design,skill,build,4357,A focused entry point into the html-ppt master skill that lands the user directly on the graphify-dark-graph full-deck t,c7a38c922fc056a0c963cc9fafa013218eacb16be9c6b0711231bdbc549d9fcb,
skills/eng-runbook/SKILL.md,open-design,skill,build,1540,Produce a single-page engineering runbook.,ace1c36dfa92f153c1c7ec89b0f086877094e9b5973d2c4c9e474286c6f95f8b,
skills/hyperframes/house-style.md,open-design,skill,build,4585,Creative direction for compositions when no visual-style.md is provided. These are starting points — override anything t,e0719895b369d7ee5203850250e605b3a1c15dbe43a367dd54e396f2b439f838,
skills/hyperframes/data-in-motion.md,open-design,skill,build,1296,Light guidance for data and stats in video compositions. The house style handles aesthetics — this just addresses data-s,22084b4460a8f815d923b972a908f937c1e573bbbc7a865f6f2979ec2ae7ff15,
skills/hyperframes/visual-styles.md,open-design,skill,build,9952,Named visual identities for HyperFrames videos. Each style is grounded in a real graphic design tradition. Use them to g,d173663b4342d830e46c5cc14a1ffafe6dbc6daca0702b0a451db3ce914693cc,
skills/hyperframes/SKILL.md,open-design,skill,build,27244,"HTML is the source of truth for video. A composition is an HTML file with data- attributes for timing, a GSAP timeline f",09d3d63ba31ce8ec3c23e20fdbc7b95630f55d7924d523e604c198eba388ad85,
skills/hyperframes/patterns.md,open-design,skill,build,2761,Animate a wrapper div for position/size. The video fills the wrapper. The wrapper has NO data attributes.,9a31458068668a168ee3f4180e06fb2d5768afe1f84b8878f5c56c72e4ab7253,
skills/hyperframes/palettes/neon-electric.md,open-design,skill,build,380,"Gaming, tech, nightlife, Gen Z content.",35225bf8d2cd37223e88e0bc59b0a96bc8adeda7225389b3df97b675cfd33dfb,
skills/hyperframes/palettes/jewel-rich.md,open-design,skill,build,394,"Luxury, events, sophisticated, high-end content.",17c8f7506469f66bca4e27ef78c19f0bcbf250f88fe840e3043816b7041c4fc5,
skills/hyperframes/palettes/bold-energetic.md,open-design,skill,build,417,"Product launches, social media, announcements, high-energy content.",17bc6b7889302151b4e5c84c0c6a33df676647078011d9decb2b68810e3baa7f,
skills/hyperframes/palettes/pastel-soft.md,open-design,skill,build,392,"Fashion, beauty, lifestyle, wellness content.",ed4e25bb5f4953c002e55a53320249621437e03b5a11d43e3c1bd32c869b6d95,
skills/hyperframes/palettes/warm-editorial.md,open-design,skill,build,411,"Storytelling, documentaries, case studies, narrative content.",c467ee3cc0bbf4b2bedccc8106e18293b8a06dbac8f092b10300492da0e0559a,
skills/hyperframes/palettes/nature-earth.md,open-design,skill,build,399,"Sustainability, outdoor, organic, wellness content.",9710549b17487787fef3c7cb459cfd6e4ac28c1593bf471fcf55a3b4e546beed,
skills/hyperframes/palettes/monochrome.md,open-design,skill,build,454,"Dramatic, typography-focused, serious content.",fe8586f6d70707098859063bdef34d68084f02cf7d5aaa436d4c9915a7ae3748,
skills/hyperframes/palettes/clean-corporate.md,open-design,skill,build,410,"Explainers, tutorials, presentations, professional content.",d0c8c86838abb77985609629afe600d0ca365eccd835820f309959e8a85cba9d,
skills/hyperframes/palettes/dark-premium.md,open-design,skill,build,389,"Tech, finance, luxury, cinematic content.",abfecbf7e8dca3b674376590a0467aac3e13b2135022ae4ec519c4b27c2303b1,
skills/hyperframes/scripts/animation-map.mjs,open-design,skill,build,19405,// animation-map.mjs — HyperFrames animation map for agents,eacb3cc40fbabadd66b673d145f2423996abdfc398c62275cbadf677065bb215,
skills/hyperframes/scripts/contrast-report.mjs,open-design,skill,build,12192,// contrast-report.mjs — HyperFrames contrast audit,2781315d7be8f58040a36b2cc0d16e25b99dfb24496593e7cb19b6f88c9b4081,
skills/hyperframes/scripts/package-loader.mjs,open-design,skill,build,8328,for (const packageName of packageNames) {,278067c09711a20c014f5e8d2e5a358c42a5d49b054503516a693a37b9829ad6,
skills/hyperframes/references/dynamic-techniques.md,open-design,skill,build,6886,You are here because SKILL.md told you to read this file before writing animation code. Pick your technique combination ,f48f666acb270daf2ac57fede5efc96ff3f168fa4f41db611de0310452e6d7e3,
skills/hyperframes/references/typography.md,open-design,skill,build,9326,The compiler embeds supported fonts — just write font-family in CSS.,d0ef1c5666a5b7a5f2af0c5701d17e63017eafc07499830c6616ccdcb21befc8,
skills/hyperframes/references/tts.md,open-design,skill,build,2562,"Generate speech audio locally using Kokoro-82M (no API key, runs on CPU).",9f7f8faa49e95cf8fbc373b722c57e61f689b3760a38e67c7aeeb36f3b05de28,
skills/hyperframes/references/captions.md,open-design,skill,build,5515,1. User says the language → --model small --language (no .en),9e35e0d8618e392906a0c542571af9f070350a17007c8449c69ff31384f3b195,
skills/hyperframes/references/audio-reactive.md,open-design,skill,build,3064,"Drive visuals from music, voice, or sound. Any GSAP-animatable property can respond to pre-extracted audio data.",f0d83c24fa40d42a74f972ccf3b5254d7706cb063d16b8b41f87dc668a418f49,
skills/hyperframes/references/motion-principles.md,open-design,skill,build,3907,You know these rules but you violate them. Stop.,68f4ba410addc4c07347025ed688029d69cf71c37cc2c5da4788600ccd5d756c,
skills/hyperframes/references/css-patterns.md,open-design,skill,build,8312,Pure CSS + GSAP implementations of all five MarkerHighlight.js drawing modes. Use these for deterministic rendering in H,39c4af128cdd3ed9d1be652a88c3e4d01cb0daf744dfde3db7197014cd1a38d8,
skills/hyperframes/references/transcript-guide.md,open-design,skill,build,7994,hyperframes transcribe handles both transcription and format conversion:,e52bf99b88d5d75cb715376edc67dc86e824d54ede65815b1aa6f7582a1b166c,
skills/hyperframes/references/transitions.md,open-design,skill,build,11709,"A transition tells the viewer how two scenes relate. A crossfade says ""this continues."" A push slide says ""next point."" ",302fab350697e210a763ba7e3b2acbde9aadac37bd49cb9814a12e60983294ce,
skills/hyperframes/references/transitions/css-distortion.md,open-design,skill,build,1803,RGB-tinted overlays (NOT multiply blend — use normal blending at 35% opacity) jitter with large offsets. Scene itself al,7140650692926959bd5459ca5c478a9b4f137cc76fb92b9138e3b0d353677c06,
skills/hyperframes/references/transitions/css-mechanical.md,open-design,skill,build,1613,"Two full-screen halves close from top and bottom, meet in the middle. Swap while closed. Open again.",4fed48fa659a4b215a996beeea619d244e6c893700178b1f969c17f2ee0a8612,
skills/hyperframes/references/transitions/css-other.md,open-design,skill,build,838,Old scene falls down with slight rotation. New scene was behind it. Needs z-index.,2156e4fcc3b42cba9e0d9e268944269057fb48ff15fc1983e3ff9386fa2a8cf8,
skills/hyperframes/references/transitions/css-dissolve.md,open-design,skill,build,2462,Simple opacity swap. The baseline.,47c11ca0a715675c2788aa4a162a652b5dc5f1773b058ea93e9907af56a4eb7c,
skills/hyperframes/references/transitions/css-push.md,open-design,skill,build,1195,Both scenes move together — new pushes old out.,d526a9612483472de4d865ae27061c98842a5155973dd0cec37fac4998dc1b97,
skills/hyperframes/references/transitions/css-light.md,open-design,skill,build,2376,"Multiple warm-colored overlays wash across frame. Needs: a flat warm tint layer + 2-3 bright radial gradient divs, all l",53f0422d3f6dd2584a30501f84e4f09c9b515f605d51ed264a2061567dda15db,
skills/hyperframes/references/transitions/css-grid.md,open-design,skill,build,370,Grid of colored cells covers the frame in a ripple from center. Scene swaps at 50% coverage. Cells fade out in ripple.,c62b17058aa7ba42d34df29436b6b4233e47ff2b72f2c7ce0963c75bdec45144,
skills/hyperframes/references/transitions/catalog.md,open-design,skill,build,6290,"Hard rules, scene template, and routing to implementation code. Read the reference file for the transition type you need",557b5b30be7b68f95d8481209b1a2f0a0e1df23f65de9b08f86697d0e6159a54,
skills/hyperframes/references/transitions/css-cover.md,open-design,skill,build,1448,Full-screen (1920x1080) colored divs slide across staggered. Scene swaps while covered.,ba4e5926791c9e6a0a069e20afc91324acb018903f43b4b3f2866d9654f5b7eb,
skills/hyperframes/references/transitions/css-blur.md,open-design,skill,build,1787,"All blur transitions scale with energy. See SKILL.md ""Blur Intensity by Energy"" for the full table.",fd3eef889a517e1dd985ca816f36f1abfb43420a4b664d4fcc453554cdf561f9,
skills/hyperframes/references/transitions/css-destruction.md,open-design,skill,build,4484,"The outgoing scene literally burns away from a corner. A fire front expands with noise-based irregular edges, a canvas d",7cce7bbd9ebc64176c9ff4fe40ec97273c9c171524d89f853c0651e713949361,
skills/hyperframes/references/transitions/css-3d.md,open-design,skill,build,421,180° Y-axis rotation. Requires CSS: backface-visibility: hidden; transform-style: preserve-3d; on both scene-inners. Par,e1c3888dd0a2d4b36d25200c1e5ef9038649ae63953865e4b2c4c40fb028d7dd,
skills/hyperframes/references/transitions/css-radial.md,open-design,skill,build,1060,Expanding circle from center reveals new scene.,5d8f20de439e3f2c8d45df11c8acbe31dc1b9342e2d54bbe66b451cf81ca0a1b,
skills/hyperframes/references/transitions/css-scale.md,open-design,skill,build,715,"Old zooms past camera + blurs, new zooms in from behind.",3c0cb33d6c844a7265379225f3241d8964afcc908ee757a1ebfb1700a5320ea7,
skills/html-ppt-weekly-report/SKILL.md,open-design,skill,build,4218,A focused entry point into the html-ppt master skill that lands the user directly on the weekly-report full-deck templat,78efb9d189530c9b950b4b325da25c50106d366e311629459c00a642621537f1,
skills/audio-jingle/SKILL.md,open-design,skill,build,4294,"Audio generation skill — jingles, beds, voiceover, and sound effects.",a73e68d0f00de6b2d291da3e23ed3661aa337330abb8588fb71733a63086ab46,
skills/html-ppt-testing-safety-alert/SKILL.md,open-design,skill,build,4411,A focused entry point into the html-ppt master skill that lands the user directly on the testing-safety-alert full-deck ,d7c13e512da103ef1df50419793df7a13a4737e7a82188c2df445263757f7185,
skills/html-ppt-tech-sharing/SKILL.md,open-design,skill,build,4249,A focused entry point into the html-ppt master skill that lands the user directly on the tech-sharing full-deck template,71ea8bb98464c5830e678c7b9b1f7b66b269020eebaf6ca25cd2662adfcb52be,
skills/html-ppt-knowledge-arch-blueprint/SKILL.md,open-design,skill,build,4401,A focused entry point into the html-ppt master skill that lands the user directly on the knowledge-arch-blueprint full-d,015e109d16225b6c07c6f3604000e60d60e3307c01a48ae4f19ff456899862bd,
skills/hatch-pet/SKILL.md,open-design,skill,build,23858,name: hatch-pet,88c01f364a1adedd43787dffc610afd1bdb387eea93ac9dfab7608bb415407e7,
